State,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,7322,7520,7989,8381,9015,9561,9741,9175,9081
Alaska,2842,3109,3659,3868,4085,4032,4216,4198,4119
Arizona,23854,26253,28557,29090,26897,23909,22689,22258,22269
Arkansas,7411,7211,7759,8285,8545,7811,7230,7159,7166
California,86255,87087,87484,85896,80408,78215,77889,74441,72070
Colorado,10542,10309,10449,10630,10577,10283,9742,8740,8147
Connecticut,5821,5407,5356,5602,5662,5788,6145,5430,5041
Delaware,1160,980,1006,1163,1194,1131,964,820,724
District of Columbia,1602,1407,1294,1248,1131,1068,1061,875,810
Florida,33290,33245,36843,39243,39735,39909,39135,37230,36161
Georgia,13526,15011,17447,19312,20037,21050,20176,17618,16043
Hawaii,2065,2140,2338,2511,2697,2730,2875,2682,2556
Idaho,2437,2435,2323,2594,2687,2956,3041,2647,2693
Illinois,20684,21009,20903,19998,19722,21118,23032,25896,27277
Indiana,18841,21258,24935,29315,32081,30693,27206,24302,21932
Iowa,10570,10032,9806,8930,9388,9866,9774,8314,7413
Kansas,9845,10095,10597,10930,11138,11764,12064,10849,10284
Kentucky,12173,12631,12546,13027,13555,15348,15783,14219,13647
Louisiana,7384,7910,8293,8145,7904,8020,7237,6294,5852
Maine,2453,2652,2763,2758,2651,2651,2997,3183,3181
Maryland,7061,6429,6045,6017,6119,6210,5789,5124,5491
Massachusetts,13652,15002,15947,16679,16752,16457,15802,14289,13594
Michigan,22261,21176,19402,18194,18230,18105,17845,16021,14474
Minnesota,11114,11564,12961,14581,15876,16042,15014,13192,12084
Mississippi,6119,6766,7371,8396,8330,7882,7039,5884,5570
Missouri,16191,17760,18678,19332,19030,19218,19327,19044,19340
Montana,3397,3602,4232,4924,5682,6098,6050,5641,5036
Nebraska,7749,6339,5956,6186,6564,5962,5643,5479,5511
Nevada,8029,7793,7634,7822,7553,7497,7722,7281,7144
New Hampshire,1282,1465,1597,1810,2039,2140,2111,1842,1688
New Jersey,12043,11847,11617,11019,10131,9382,8116,6202,5287
New Mexico,3746,4174,4126,4325,4479,4299,3933,3489,3027
New York,33526,32276,27890,27314,26316,24991,24054,21975,21697
North Carolina,13401,14345,15011,15687,15501,14936,15414,14705,15345
North Dakota,2012,2178,2332,2388,2461,2613,2518,2451,2461
Ohio,21435,21859,22533,23646,25195,26744,27440,26475,25773
Oklahoma,15077,16345,16841,16301,15139,13962,13113,12331,11507
Oregon,12226,11062,10899,10829,11418,11141,10529,9463,8281
Pennsylvania,22955,24293,25388,25822,26552,26497,25584,22416,21456
Rhode Island,2902,2973,2948,2868,2863,3109,3058,3057,2882
South Carolina,5989,6520,7038,7413,7579,8047,8300,7419,6702
South Dakota,2296,2187,2179,2377,2571,2705,2733,2791,2629
Tennessee,12844,11929,12188,12480,13246,14170,14371,14674,14558
Texas,46286,46777,47492,48963,50331,52361,51097,47543,44929
Utah,4881,5031,5110,4997,5062,4874,4572,4094,3870
Vermont,1604,1721,2045,2072,2013,2045,1985,1741,1634
Virginia,7182,7393,7479,7782,7635,7754,7612,7451,7570
Washington,15222,16154,16170,16252,16778,16821,16582,15108,13354
West Virginia,7906,8069,8436,9281,10561,11642,12094,11849,11911
Wisconsin,10852,11158,11451,11621,12226,12540,12271,11434,10586
Wyoming,1890,1879,2082,2011,2062,2098,2075,1787,1601
Puerto Rico,,,,,,2955,3136,2610,2687